x,y,z,dist,time
560,-77,2549,6631,44.391999999999996
453,4092,1897,4087,36.76
-90,234,1082,4828,38.983000000000004
232,1515,717,3790,35.869
335,2697,2048,3276,34.327
553,1906,931,3758,35.772999999999996
596,3386,1183,3168,34.003
230,1805,71,3535,35.104
-2,1923,2702,4186,37.056999999999995
257,850,926,4517,38.050000000000004
-88,4144,1150,3230,34.189
-60,3705,2060,3291,34.372
268,2875,1354,2647,32.44
265,675,1199,4782,38.845
444,3702,1378,3410,34.729
127,3869,1,3124,33.870999999999995
-83,4079,56,3110,33.829
270,3369,2273,3431,34.792
397,2115,1137,3452,34.855000000000004
-52,2999,2344,2791,32.872
-17,3389,1746,2824,32.971000000000004
288,2820,13,2593,32.278000000000006
-47,2807,626,2210,31.128999999999998
458,4464,623,3986,36.457
65,4817,1237,4088,36.763
115,1445,1177,3854,36.061
14,96,384,4981,39.442
537,3515,2029,3678,35.533
222,1019,55,4317,37.449999999999996
-33,4024,1998,3597,35.29
551,1260,514,4351,37.552
258,3382,809,2726,32.677
422,585,1776,5307,40.42
-94,3149,1264,2272,31.315
466,2349,2086,3781,35.842
-99,2457,2092,3112,33.835
313,4407,346,3786,35.857
-81,4189,2332,3942,36.324999999999996
357,668,126,4787,38.86
552,1204,211,4431,37.792
583,390,640,5258,40.273
303,-91,1805,5881,42.141999999999996
175,3601,84,2883,33.147999999999996
569,4402,195,4056,36.667
18,3755,652,2839,33.016000000000005
171,2630,1389,2810,32.929
-63,758,1180,4364,37.591
253,3242,1600,2867,33.099999999999994
588,960,2341,5468,40.903
-58,540,797,4486,37.957
-39,919,1785,4517,38.050000000000004
-44,2071,1700,3311,34.432
-45,1573,946,3497,34.99
-81,3457,2745,3521,35.062
510,2393,2495,4070,36.708999999999996
177,4491,754,3746,35.737
588,1078,1068,4658,38.473
588,4137,881,3825,35.974
-96,4819,2502,4681,38.542
148,1638,2221,4265,37.294
283,4500,2347,4628,38.382999999999996
598,1332,841,4358,37.573
222,2543,340,2746,32.737
114,1813,1588,3667,35.5
-87,224,1421,4973,39.41799999999999
269,1320,2298,4759,38.775999999999996
358,1050,541,4368,37.603
283,544,473,4799,38.895999999999994
85,2626,2705,3572,35.214999999999996
329,3087,2468,3349,34.546
415,3602,1776,3487,34.96
506,1247,1861,4779,38.836
355,4551,2638,4967,39.400000000000006
367,2885,1053,2625,32.374
36,2136,717,2973,33.418
99,1142,1662,4362,37.585
-12,3427,1017,2548,32.143
202,2448,23,2876,33.126999999999995
163,3598,2448,3679,35.536
177,4687,305,3934,36.301
211,4864,2292,4880,39.139
82,4267,1916,3903,36.208
152,157,908,5101,39.80199999999999
471,2673,1238,3004,33.511
239,3915,1460,3456,34.867
276,4716,1453,4291,37.372
155,4936,1612,4469,37.906
478,4936,16,4538,38.113
235,4423,1014,3790,35.869
-84,509,2733,5542,41.125
570,4946,430,4577,38.230000000000004
247,1680,1335,3813,35.938
-42,297,1855,5178,40.033
181,222,239,5038,39.613
521,3702,860,3319,34.455999999999996
-91,4398,2138,4005,36.513999999999996
538,1706,731,3906,36.217
587,4382,1645,4365,37.594
295,1505,2724,4918,39.253
198,1371,1819,4322,37.465
589,3109,2627,3751,35.752
-22,2671,976,2429,31.786
502,-15,763,5596,41.287
203,813,632,4454,37.861
313,3189,1328,2745,32.733999999999995
511,1208,2338,5141,39.922000000000004
157,2971,675,2254,31.261
232,3291,2741,3664,35.491
-74,4788,1953,4291,37.372
173,2264,351,2975,33.424
425,3479,422,2965,33.394000000000005
38,4043,885,3182,34.045
577,88,34,5608,41.323
325,906,1490,4735,38.70399999999999
527,4193,2170,4440,37.819
199,113,2438,5997,42.489999999999995
74,959,2222,4871,39.112
21,3009,215,2112,30.835
571,531,2676,6131,42.891999999999996
189,2734,545,2515,32.044
-75,4345,2735,4407,37.72
-87,593,1554,4668,38.503
-46,1283,1908,4220,37.159000000000006
522,2915,218,2689,32.566
295,1065,2271,5020,39.559000000000005
513,4913,1994,5029,39.586
418,251,879,5266,40.297000000000004
299,-92,2234,6155,42.964
597,3933,693,3600,35.299
579,802,985,4901,39.202000000000005
398,4558,1193,4146,36.937
276,2034,2069,3894,36.181000000000004
471,3035,1495,2825,32.974000000000004
333,4671,1824,4502,38.005
515,3236,1773,3219,34.156
156,3672,1292,3056,33.667
163,4671,2462,4763,38.788000000000004
168,922,2712,5365,40.594
590,3848,1867,3962,36.385
-62,-93,1683,5448,40.842999999999996
542,2274,1632,3657,35.47
16,3234,2246,3023,33.568
248,3717,318,3034,33.601
-69,2044,2453,3809,35.926
112,3535,2014,3263,34.288000000000004
588,252,1105,5496,40.987
14,1074,478,4000,36.499
486,1739,2131,4441,37.822
-3,617,338,4447,37.84
316,613,931,4814,38.940999999999995
504,3693,2358,4050,36.649
334,2513,2702,3932,36.295
505,1908,248,3674,35.521
-71,3583,155,2605,32.314
184,712,1586,4837,39.010000000000005
203,3044,1172,2429,31.786
119,594,60,4638,38.413000000000004
175,2926,1855,2766,32.797
320,1959,2748,4508,38.023
334,4908,2507,5204,40.111
249,2292,2453,3879,36.136
-62,4558,423,3557,35.17
533,1428,1623,4489,37.966
128,1826,2453,4224,37.171
126,1605,444,3581,35.242
-31,1304,1379,3930,36.289
74,1133,204,4025,36.574
-88,1291,273,3695,35.583999999999996
4,2597,2304,3221,34.162
81,4152,259,3309,34.426
287,3028,221,2396,31.686999999999998
376,2142,190,3320,34.458999999999996
278,545,2118,5418,40.753
205,3065,2728,3401,34.702
581,4537,2376,4984,39.451
-61,4287,1558,3576,35.227
552,981,2685,5669,41.506
595,2145,726,3524,35.071
194,1853,673,3409,34.726
212,3915,1223,3328,34.483
270,160,1992,5712,41.635000000000005
590,2724,1923,3424,34.771
345,4131,2414,4369,37.606
40,4647,2245,4459,37.876
573,-73,243,5724,41.671
344,1357,1230,4190,37.069
574,3674,1157,3425,34.774
141,3839,1949,3555,35.164
417,2092,2541,4313,37.438
-83,4912,554,3889,36.166
305,2188,1703,3545,35.134
-95,3126,2001,2639,32.416
-98,467,2107,5113,39.837999999999994
90,3198,630,2352,31.555
376,1064,2056,4956,39.367000000000004
-45,1760,2304,4009,36.525999999999996
270,3007,2039,2910,33.229
112,125,1246,5197,40.09
334,1476,2079,4517,38.050000000000004
264,4897,202,4245,37.234
410,3780,1601,3562,35.185
252,1737,1085,3668,35.503
182,2839,2615,3387,34.66
10,3321,1467,2636,32.407
-39,2423,1763,3000,33.499
294,2484,841,2902,33.205
372,3110,885,2583,32.248000000000005
541,3920,211,3544,35.131
55,2158,2713,4017,36.55
561,15,1365,5805,41.913999999999994
-77,1979,59,3057,33.67
375,1867,1705,3937,36.31
478,4183,1101,3819,35.955999999999996
-60,2383,115,2658,32.473
-14,1526,109,3562,35.185
575,80,1768,5960,42.379
-95,433,2427,5375,40.623999999999995
-37,2205,478,2818,32.953
7,2176,971,2952,33.355000000000004
80,1967,884,3213,34.138
530,1134,1526,4730,38.689
492,3249,2374,3605,35.314
349,464,1353,5138,39.913000000000004
206,4071,458,3337,34.51
532,587,440,5006,39.516999999999996
256,1234,2704,5135,39.904
268,4019,1033,3425,34.774
541,3660,2673,4289,37.366
-86,4874,1616,4168,37.003
94,2258,1432,3125,33.874
137,3504,1535,2980,33.439
-79,4411,1340,3580,35.239000000000004
390,1862,2452,4449,37.846000000000004
358,132,1582,5589,41.266000000000005
52,1946,1913,3658,35.473
289,3402,1813,3182,34.045
-11,1760,12,3354,34.561
-22,2281,2253,3475,34.924
520,1301,1058,4364,37.591
296,1993,423,3364,34.591
427,549,2380,5746,41.737
551,2939,876,2711,32.632000000000005
177,3881,2725,4187,37.06
489,4928,1567,4772,38.815
584,1804,27,3901,36.202
156,1017,721,4212,37.135
487,1564,1297,4153,36.958
274,3764,718,3111,33.832
-81,701,2263,5003,39.507999999999996
205,4329,2532,4515,38.044
219,-63,862,5378,40.632999999999996
174,1598,1640,3969,36.406
65,2410,857,2750,32.749
-89,4634,1286,3770,35.809
51,-94,2116,5829,41.986
239,4117,1720,3793,35.878
9,4676,2716,4807,38.92
20,3965,576,3046,33.637
324,4765,11,4214,37.141000000000005
583,4649,1054,4376,37.627
96,3031,1381,2393,31.677999999999997
-76,1191,2288,4535,38.104
57,599,1015,4591,38.272
298,4899,725,4271,37.312
501,1609,2648,4961,39.382000000000005
549,3473,964,3141,33.922000000000004
164,2821,2289,3146,33.937
152,950,1140,4373,37.618
220,4897,1099,3775,35.824000000000005
454,200,404,5316,40.447
261,353,1750,5363,40.587999999999994
109,4741,54,3965,36.394
565,4486,823,4140,36.919
397,143,2178,5980,42.439
-63,1836,488,3161,33.982
349,1355,612,4057,36.67
-41,3619,1703,3006,33.516999999999996
89,3896,1034,3123,33.868
296,955,1742,4791,38.872
592,2638,2690,4056,36.667
431,2676,190,2841,33.022
300,-92,1282,5616,41.346999999999994
424,2785,566,2700,32.599000000000004
556,2914,2500,3599,35.296
385,182,2638,6264,43.291000000000004
560,3689,413,3311,34.432
3,678,551,4385,37.654
160,-75,671,5303,40.408
410,3,1963,5991,42.471999999999994
276,411,213,4947,39.34
68,4128,1388,3465,34.894
595,2793,4,2929,33.286
569,524,1201,5238,40.212999999999994
196,3186,381,2445,31.834
135,3548,1805,3170,34.009
-79,143,755,4856,39.067
584,600,1945,5556,41.167
210,753,2300,5268,40.303
595,32,454,5623,41.368
85,4523,24,3730,35.689
-74,1191,807,3821,35.962
327,1468,1517,4189,37.065999999999995
582,3159,328,2809,32.926
-82,2777,1647,2538,32.113
79,433,1632,5035,39.604
184,2672,1063,2658,32.473
23,4359,856,3477,34.93
549,1696,1617,4234,37.201
326,1559,519,3827,35.980000000000004
72,2520,2505,3513,35.038000000000004
68,-93,1184,5347,40.54
50,1409,780,3722,35.665
279,1209,1054,4214,37.141000000000005
-84,2888,2741,3169,34.006
348,1735,855,3708,35.623000000000005
305,4752,955,4174,37.021
88,3610,812,2785,32.854
327,399,1041,5068,39.703
276,3606,2178,3608,35.323
429,790,2360,5493,40.978
56,1663,759,3471,34.912
20,3536,578,2617,32.349999999999994
527,4176,111,3805,35.914
583,231,1357,5607,41.31999999999999
544,2509,629,3099,33.796
168,4648,537,3876,36.127
599,2563,2141,3737,35.71
456,385,2523,6045,42.634
-87,1516,1839,3904,36.211
166,274,594,4954,39.361
507,2920,2026,3211,34.132000000000005
552,4294,2356,4697,38.59
314,3426,2546,3731,35.692
-62,130,121,4907,39.22
-3,1788,1138,3379,34.636
340,2379,169,3051,33.652
-55,4587,1931,4095,36.784000000000006
190,2535,1957,3235,34.204
417,3399,1354,3070,33.708999999999996
185,1928,1310,3492,34.975
166,-94,422,5321,40.462
360,835,2716,5647,41.44
347,2718,2454,3552,35.155
259,3989,2143,3950,36.349
25,1778,932,3358,34.573
-22,2532,443,2506,32.016999999999996
-49,2536,1280,2638,32.413
163,115,27,5169,40.006
-95,4312,360,3282,34.345
419,1186,861,4329,37.486
59,-9,2692,6171,43.01199999999999
312,-61,2476,6312,43.435
-50,1788,1400,3436,34.807
374,2133,1356,3496,34.987
363,2356,1018,3140,33.919
453,1445,2466,4940,39.319
273,-58,1505,5655,41.464
591,3236,1019,2961,33.382000000000005
203,2492,1581,3073,33.717999999999996
356,1710,372,3710,35.629
518,912,1237,4812,38.935
-80,2634,1811,2776,32.827
341,3853,38,3312,34.435
412,3604,244,3094,33.781
283,2455,2125,3518,35.053
198,604,2559,5595,41.284000000000006
380,4152,372,3596,35.287
458,1837,1161,3799,35.896
406,2663,1693,3165,33.994
368,881,100,4591,38.272
47,4080,2200,3868,36.103
347,4537,2144,4587,38.260000000000005
540,3349,14,3014,33.541
334,4753,2035,4717,38.650000000000006
473,3429,2743,4045,36.634
155,1683,2640,4535,38.104
24,3316,1232,2544,32.131
492,4632,474,4184,37.051
207,3164,4,2498,31.993
514,3264,581,2839,33.016000000000005
-74,4629,168,3645,35.434
464,2051,1594,3782,35.845
493,796,2055,5340,40.519000000000005
180,2033,208,3230,34.189
555,2386,270,3243,34.228
592,537,102,5158,39.973
581,4562,26,4265,37.294
231,4486,167,3807,35.92
-38,4212,2073,3829,35.986
258,235,1392,5293,40.378
279,4354,2728,4764,38.791000000000004
-63,1772,1846,3676,35.527
-4,2971,419,2086,30.757
462,4558,279,4093,36.778
246,2096,637,3215,34.144
217,2814,1574,2761,32.782
517,4860,2396,5257,40.27
12,2960,2547,3044,33.631
-55,3627,2461,3500,34.999
572,1868,451,3764,35.791
430,3172,1143,2774,32.821
-95,3906,1593,3179,34.036
505,641,1605,5239,40.216
593,3638,1603,3605,35.314
206,1288,2509,4882,39.145
269,3293,624,2626,32.376999999999995
486,4115,2623,4651,38.452000000000005
291,4257,1448,3844,36.031
164,2156,1204,3202,34.105000000000004
286,4259,567,3606,35.317
-96,1282,2737,4760,38.779
95,3241,875,2435,31.804000000000002
147,1034,2444,5028,39.583
293,4286,1969,4166,36.997
239,4687,1198,4117,36.85
-66,1571,398,3425,34.774
200,1508,185,3779,35.836
489,4917,633,4470,37.909000000000006
214,15,1075,5349,40.546
247,495,1544,5095,39.784000000000006
386,225,9,5287,40.36
391,1161,63,4342,37.525000000000006
121,3191,1776,2782,32.845
566,112,2489,6403,43.708
238,3904,1727,3583,35.248000000000005
20,942,2002,4687,38.56
243,3144,2284,3187,34.06
69,2840,84,2336,31.507
129,4076,73,3315,34.444
43,2860,1131,2351,31.552
553,2455,1210,3294,34.381
3,3675,2262,3462,34.885
205,4226,873,3529,35.086
23,3875,1782,3371,34.612
481,13,2720,6593,44.278
404,3621,657,3091,33.772
60,257,2346,5647,41.44
202,613,271,4663,38.488
566,358,5,5335,40.504
148,362,1955,5365,40.594
489,423,2132,5760,41.779
132,4828,2057,4604,38.31099999999999
145,3554,1023,2834,33.001000000000005
559,2185,2039,4007,36.52
86,1518,1395,3840,36.019
112,1458,2313,4474,37.921
190,2796,832,2484,31.951
-64,2636,751,2377,31.63
128,4464,1685,4010,36.529
250,1161,1782,4562,38.185
167,3682,526,2909,33.226
177,1064,1464,4417,37.75
321,673,1404,4924,39.270999999999994
577,1996,1329,3824,35.971000000000004
-76,1267,1586,4022,36.565
411,4556,1459,4268,37.303
596,3038,1654,3035,33.604
498,4949,970,4568,38.203
-44,3700,402,2718,32.653000000000006
592,2121,983,3595,35.284
583,1927,2457,4581,38.242000000000004
406,3293,407,2761,32.782
101,641,1995,5064,39.690999999999995
527,1695,2335,4668,38.503
-99,981,289,3992,36.475
105,4365,2380,4338,37.513
15,2213,1966,3387,34.66
38,3417,44,2572,32.215
324,2038,1850,3800,35.899
40,751,151,4382,37.645
213,1771,2095,4112,36.835
551,2798,1078,2904,33.211
-63,4827,1041,3904,36.211
11,4694,928,3815,35.944
18,4095,2515,4081,36.742
155,2649,44,2623,32.367999999999995
-44,3112,773,2148,30.943
453,4209,681,3731,35.692
332,1250,253,4159,36.976
85,2434,2194,3388,34.663000000000004
-70,313,869,4714,38.641000000000005
-90,2009,1175,3084,33.751
78,4863,358,4006,36.516999999999996
-94,3867,1143,2945,33.334
575,1558,982,4141,36.922000000000004
403,2615,1049,2930,33.289
464,3279,2597,3773,35.818
131,766,1829,4866,39.096999999999994
536,3960,1329,3739,35.716
226,2241,2168,3704,35.611
112,1154,1239,4165,36.994
-9,1287,2526,4680,38.538999999999994
-14,3001,1801,2471,31.912
171,2320,674,2919,33.256
241,294,2387,5821,41.962
222,2266,898,3059,33.676
598,1963,1995,4239,37.216
35,2238,2466,3729,35.686
468,2567,2570,3911,36.232
187,4011,2401,4082,36.745
358,2387,1768,3436,34.807
-1,741,1396,4530,38.089
400,40,58,5474,40.921
599,2888,2312,3531,35.092
566,2729,692,2907,33.22
540,4712,2044,4888,39.163000000000004
37,3332,503,2429,31.786
477,999,226,4558,38.172999999999995
519,2508,2299,3821,35.962
580,4598,1286,4403,37.708
-99,4108,2709,4125,36.873999999999995
185,4301,139,3582,35.245
-90,40,1152,5045,39.634
-59,3056,598,2059,30.676
385,1725,1960,4242,37.225
590,4670,1843,4769,38.806000000000004
95,2687,1893,2948,33.342999999999996
591,3847,2194,4175,37.024
101,4726,1560,4178,37.033
387,1057,1042,4470,37.909000000000006
532,2042,2672,4578,38.233000000000004
132,1245,596,3949,36.346000000000004
-50,3374,291,2396,31.686999999999998
403,3558,1238,3167,34.0
559,4429,446,4048,36.643
267,2736,358,2596,32.287
377,4885,2181,4990,39.469
369,369,518,5060,39.679
564,4004,488,3628,35.382999999999996
577,3382,293,3030,33.589
53,810,946,4358,37.573
18,4257,4,3402,34.705
326,4711,456,4097,36.79
26,91,2239,5703,41.608000000000004
76,1179,2205,4641,38.422000000000004
394,4796,1646,4587,38.260000000000005
597,280,840,5409,40.726
412,2211,2284,4001,36.502
394,2224,1890,3708,35.623000000000005
576,72,1097,5661,41.482
338,1684,1664,4060,36.679
476,1473,1887,4539,38.116
-93,2703,2159,2917,33.25
38,3634,2719,3796,35.887
414,3099,1675,2925,33.274
125,3890,284,3088,33.763
367,1792,2643,4640,38.419
-93,4100,424,3068,33.703
-78,2726,1458,2497,31.990000000000002
-94,1209,60,3810,35.929
-98,440,1167,4642,38.425000000000004
446,1531,2299,4725,38.674
-54,3369,1986,2913,33.238
552,918,1605,5009,39.525999999999996
93,3819,2496,3866,36.097
-46,248,2043,5341,40.522
583,750,2650,5904,42.211
391,3575,1535,3305,34.414
182,3018,1634,2590,32.269000000000005
171,4477,1255,3861,36.082
126,4783,1747,4362,37.585
579,4475,1479,4365,37.594
-89,662,2633,5307,40.42
30,1646,1500,3705,35.614000000000004
597,998,2108,5277,40.33
-87,3790,191,2789,32.866
528,2473,1526,3389,34.666
140,2668,2132,3166,33.997
120,651,2737,5607,41.31999999999999
401,1898,99,3607,35.32
431,3349,2050,3420,34.759
-19,1280,1170,3882,36.145
403,2211,352,3258,34.272999999999996
563,4880,174,4532,38.095
221,4661,2213,4632,38.395
257,2757,183,2588,32.263
15,3011,1227,2228,31.183
-94,4916,1241,4030,36.589
371,889,1906,5030,39.589
68,1406,2733,4797,38.89
380,1392,815,4075,36.724
552,4916,1757,4927,39.279999999999994
174,860,1345,4564,38.190999999999995
477,3904,874,3479,34.936
234,2165,2602,4103,36.808
376,607,2748,5916,42.247
187,3469,1220,2856,33.067
597,2256,1304,3574,35.221000000000004
59,3891,783,3032,33.595
476,1521,641,4020,36.559
-86,37,1501,5199,40.096000000000004
19,891,510,4188,37.063
572,475,2297,5906,42.217
424,122,1326,5544,41.131
407,1899,2023,4130,36.888999999999996
392,4345,180,3825,35.974
212,4933,1392,4415,37.744
-41,1673,2714,4406,37.717
581,1107,1708,4905,39.214
312,4245,1044,3698,35.592999999999996
291,3463,2059,3400,34.699000000000005
-90,1515,2287,4197,37.09
478,667,1072,4960,39.379
467,1058,2214,5160,39.979
-95,3404,2442,3223,34.168
-59,2221,5,2847,33.04
157,4484,2208,4387,37.66
458,3760,159,3310,34.429
155,3461,677,2684,32.551
360,4687,2438,4958,39.373000000000005
403,3043,1894,2986,33.457
128,-27,1700,5581,41.242000000000004
579,4479,2198,4798,38.893
94,4406,400,3562,35.185
400,1073,1862,4848,39.04299999999999
442,2610,1922,3390,34.669
284,882,2443,5317,40.449999999999996
305,1563,1864,4264,37.291
421,2475,445,3006,33.516999999999996
265,3251,2526,3492,34.975
348,4448,785,3878,36.132999999999996
261,4507,1576,4127,36.88
-11,4855,1414,4124,36.871
72,4056,1144,3300,34.399
313,572,1927,5302,40.404999999999994
176,3056,939,2345,31.534
227,4680,2721,5033,39.598
377,3855,1141,3403,34.708
-84,1305,2139,4310,37.429
230,224,2734,6142,42.925000000000004
440,1691,122,3848,36.043
560,1515,2049,4684,38.551
141,114,733,5102,39.805
356,735,1560,4972,39.415
439,3824,2253,4041,36.622
-68,4569,1541,3843,36.028
-79,2544,2736,3514,35.041
510,2060,347,3516,35.047000000000004
-90,2987,2163,2638,32.413
298,1967,988,3456,34.867
201,598,703,4674,38.520999999999994
416,290,1695,5549,41.145999999999994
162,4934,27,4217,37.150000000000006
-37,-20,654,5049,39.645999999999994
545,1146,2576,5413,40.738
26,706,1679,4735,38.70399999999999
146,1072,996,4201,37.102
129,2445,1266,2901,33.202
432,891,835,4632,38.395
79,4825,724,3978,36.433
202,3903,541,3165,33.994
569,2494,826,3164,33.991
462,4012,2148,4179,37.036
352,4,424,5409,40.726
104,2018,2180,3813,35.938
284,1606,10,3804,35.911
506,3445,2202,3693,35.578
497,1404,281,4166,36.997
574,2921,2672,3741,35.722
-65,4269,2511,4169,37.006
401,2849,1243,2760,32.778999999999996
132,-74,2314,6027,42.58
138,1673,28,3586,35.257000000000005
199,360,383,4902,39.205
-78,2751,5,2298,31.393
445,4253,1596,4068,36.703
88,2405,2705,3796,35.887
376,3612,964,3107,33.82
374,541,1142,5005,39.514
7,1343,141,3759,35.775999999999996
-51,2091,274,2932,33.295
98,3484,2190,3316,34.447
596,3300,1362,3153,33.958
391,3925,1919,3872,36.115
37,4899,2358,4789,38.866
423,292,1493,5449,40.846000000000004
401,704,504,4757,38.77
331,305,2126,5716,41.647
-62,934,1033,4142,36.925
-75,4901,2688,4926,39.277
110,319,1036,4929,39.286
475,1327,2046,4785,38.854
259,3647,1917,3461,34.882000000000005
402,2289,703,3184,34.051
488,4153,1302,3873,36.118
380,3254,748,2711,32.632000000000005
289,1213,1952,4653,38.458
125,2124,1696,3425,34.774
-45,3694,1277,2871,33.112
-73,2288,835,2730,32.689
-50,1077,670,3941,36.322
424,1154,384,4333,37.498000000000005
570,2207,1841,3871,36.112
281,4108,1548,3734,35.701
96,4149,679,3313,34.438
524,1745,323,3847,36.04
374,61,906,5418,40.753
438,462,324,5044,39.631
65,4296,1228,3564,35.191
319,938,339,4448,37.842999999999996
209,2968,475,2301,31.402
-84,2199,1252,2929,33.286
185,126,1799,5542,41.125
364,2572,1345,3042,33.625
403,2792,2188,3344,34.531
66,612,1192,4643,38.428
497,134,617,5426,40.777
255,2349,2732,4040,36.619
55,3798,1448,3149,33.946
350,2597,39,2871,33.112
333,1208,2147,4830,38.989000000000004
106,2072,1440,3326,34.477
77,4630,1201,3900,36.199000000000005
-23,222,551,4815,38.944
597,3485,1838,3588,35.263
598,2670,942,3042,33.625
-77,1751,2522,4145,36.934
497,3076,743,2649,32.446
